345	I.C.U.	2009	11	tt1475569	61767	91	N/A	1100000	2.6	\N	22
346	Frequently Asked Questions About Time Travel	2009	4	tt0910554	22494	83	PG-13	0	7.1	38	321
618	Red Cliff Part II	2009	1	tt1326972	15384	136	N/A	80000000	7.6	82	81
619	Rampage	2009	8	tt1337057	38780	85	R	0	6.2	51	308
620	Armored	2009	12	tt0913354	4597	88	PG-13	20000000	5.7	40	308
621	Gentlemen Broncos	2009	9	tt1161418	22820	89	PG-13	10000000	6.2	19	142
622	Soul Kitchen	2009	9	tt1244668	31175	99	N/A	5000000	7.3	73	4
623	Post Grad	2009	8	tt1142433	25704	89	PG-13	15000000	5.3	8	4
624	Aladin	2009	10	tt1227762	25868	132	Not Rated	0	4.6	45	322
625	Beautiful Kate	2009	8	tt1209377	29483	90	R	4300000	6.6	84	17
626	Little Nicholas	2009	9	tt1264904	31203	91	Not Rated	0	7.1	60	30
627	Don't Look Back	2009	6	tt1075113	18897	110	Not Rated	13000000	5.8	33	103
628	Survival of the Dead	2010	5	tt1134854	29426	90	R	4000000	4.9	30	122
629	Weather Girl	2009	7	tt1085515	19900	92	R	0	5.8	33	30
630	Coco Before Chanel	2009	4	tt1035736	11156	110	PG-13	0	6.7	64	16
631	The Good Guy	2009	4	tt1247662	39037	90	R	3200000	5.8	35	86
632	Wake Wood	2011	3	tt1296899	59726	90	R	0	5.5	80	5
633	Cargo	2009	9	tt0381940	34069	120	N/A	0	6.1	39	236
634	The Greatest	2009	1	tt1226232	32395	99	R	6000000	6.6	53	17
635	The Grudge 3	2009	5	tt1053859	1977	90	R	5000000	4.7	27	97
636	The Firm	2009	9	tt1313113	31218	90	N/A	0	5.8	68	17
637	Personal Effects	2009	2	tt1138489	14857	110	R	0	6.2	39	17
638	Nine Dead	2010	3	tt0959329	34335	98	R	2000000	5.5	29	323
639	The Assassin Next Door	2009	12	tt1198153	37714	102	R	3000000	5.8	32	66
640	Pimpin' Pee Wee	2009	1	tt1346302	84598	78	TV-MA	1000000	3.9	\N	30
641	Dance Flick	2009	5	tt1153706	21724	83	PG-13	25	3.5	18	324
642	City Island	2009	3	tt1174730	28053	104	PG-13	6000000	7.4	82	4
643	The Other Woman	2009	9	tt1032825	52505	98	R	30000000	6.3	39	17
644	Hurricane Season	2009	12	tt1172998	32007	103	PG-13	143000	6.6	70	17
645	Leaves of Grass	2009	9	tt1151359	12834	104	R	9000000	6.4	61	233
646	The Forbidden Legend: Sex & Chopsticks 2	2009	3	tt1465840	32516	93	N/A	0	4.7	\N	2
647	Rocket Singh: Salesman of the Year	2009	12	tt1434447	26815	156	Not Rated	1250000	7.5	88	2
648	Eloise	2009	10	tt1221188	44620	92	N/A	0	6.5	53	17
649	Micmacs	2009	10	tt1149361	27936	100	R	33000000	7.2	72	127
650	Wrong Turn at Tahoe	2009	11	tt1393000	25594	91	R	0	6.1	27	204
651	The Last Station	2009	9	tt0824758	36811	112	R	0	7.0	71	15
652	The Butterfly Effect 3: Revelations	2009	1	tt1234541	16258	90	R	0	5.6	32	325
653	Possession	2009	7	tt0368563	33788	86	PG-13	0	5.5	29	26
654	And Then Came Lola	2009	1	tt1123894	38645	71	Not Rated	0	4.0	37	4
655	Veronika Decides to Die	2009	5	tt1068678	25968	103	R	9000000	6.4	\N	15
656	Doghouse	2009	6	tt1023500	20606	89	Not Rated	0	6.0	48	34
657	Everyone Else	2009	3	tt1204773	33809	119	Unrated	0	6.7	88	15
658	Merantau	2009	8	tt1368116	34626	106	R	0	6.7	62	66
659	Horsemen	2009	2	tt0892767	18476	90	R	20000000	5.6	33	326
660	Solitary Man	2009	9	tt1294213	36691	90	R	15000000	6.3	79	2
661	Wild Cherry	2009	2	tt1222329	53729	120	R	3500000	4.0	18	30
662	I Can Do Bad All By Myself	2009	9	tt1385912	26367	113	PG-13	0	4.5	61	4
663	Daddy Longlegs	2009	5	tt1426362	58251	100	Not Rated	0	6.9	78	4
664	Desert Flower	2009	9	tt1054580	33997	120	R	0	7.4	50	17
665	The Maiden Heist	2009	5	tt1107860	24271	91	PG-13	20000000	6.1	37	159
666	Beyond a Reasonable Doubt	2009	2	tt1183251	25137	105	PG-13	25000000	5.9	7	54
667	The Killing Room	2009	1	tt1119191	20777	93	R	0	5.7	71	18
668	My Life in Ruins	2009	6	tt0865559	23049	95	PG-13	17000000	5.9	10	86
669	Stolen	2009	10	tt1139282	38850	97	R	2000000	6.1	0	130
670	Green Street Hooligans 2	2009	3	tt1300853	15809	94	Not Rated	8000000	4.8	31	12
671	Finding Bliss	2009	1	tt1185242	31896	96	R	0	5.3	30	30
673	Ricky	2009	2	tt1189076	22136	90	Not Rated	0	5.7	63	176
675	Kolpaçino	2009	11	tt1523486	50025	98	N/A	2000000	6.0	28	6
676	Kambakkht Ishq	2009	7	tt1144804	10788	142	Not Rated	16000000	3.9	31	2
677	The Breath	2009	10	tt1171701	27957	128	N/A	2000000	8.0	79	327
678	Adrift	2009	7	tt1016321	39641	97	Not Rated	0	6.8	71	17
679	Nothing Personal	2009	8	tt1320352	45806	85	N/A	0	7.1	82	18
680	Gulaal	2009	3	tt1261047	21625	147	N/A	490000	8.1	79	12
681	Under the Mountain	2009	12	tt1275861	32932	91	PG-13	0	4.9	23	209
682	Baarìa	2009	9	tt1081935	25846	150	Not Rated	35000000	6.9	55	328
683	How to Draw a Perfect Circle	2009	9	tt1138478	105454	93	N/A	0	5.5	\N	17
684	Black Water Transit	2009	5	tt0490087	310706	100	N/A	0	6.9	\N	12
685	Adam	2009	7	tt1185836	22051	99	PG-13	0	7.2	66	15
686	Dare	2009	11	tt1241316	32124	91	R	0	5.8	57	15
687	A Shine of Rainbows	2009	10	tt1014774	37206	101	PG	6000000	7.1	44	78
688	Open Graves	2009	9	tt0870937	28499	88	R	6500000	4.2	16	22
689	Be My Teacher	2011	10	tt1398923	419628	90	N/A	0	4.3	\N	276
691	Hunger	2009	5	tt1176252	173672	101	R	625000	5.3	29	21
692	Blood: The Last Vampire	2009	4	tt0806027	1450	91	R	0	5.3	25	329
693	Courage	2009	7	tt1447495	84741	90	NOT RATED	0	4.7	\N	78
694	The Winning Season	2009	1	tt1293842	44750	119	PG-13	0	6.6	50	4
695	The Last Days of Emma Blank	2009	5	tt1239446	42346	89	N/A	0	6.8	58	30
696	Gooby	2009	4	tt1132588	21293	99	PG	0	3.1	20	61
697	Glorious 39	2009	11	tt1319694	35939	129	R	6000000	6.4	46	330
698	Deadline	2009	1	tt1242618	25073	89	R	0	4.6	20	5
699	Spring Breakdown	2009	5	tt0814331	18826	84	R	12300000	4.8	55	30
700	The Thaw	2009	1	tt1235448	23410	90	R	0	5.2	24	125
701	New York	2009	6	tt1328634	19616	153	Not Rated	0	6.8	57	54
702	In Her Skin	2009	3	tt0995851	66113	107	R	7000000	6.4	45	18
703	Suck	2009	9	tt1323605	44028	91	R	0	6.1	50	331
705	Forget Me Not	2009	10	tt1147684	27588	103	R	1300000	5.2	26	332
706	Run! Bitch Run!	2009	1	tt1136684	26334	90	Unrated	25000	4.2	21	22
707	The Trotsky	2010	5	tt1295072	46584	120	Not Rated	6400000	6.8	79	30
708	White Material	2010	3	tt1135952	46207	102	Not Rated	0	6.9	86	17
709	Tormented	2009	5	tt1100053	23173	91	R	0	5.1	69	34
710	Killer Bean Forever	2009	9	tt1340108	24528	85	TV-PG	0	6.5	95	333
711	Infestation	2009	2	tt1020543	22476	93	R	0	5.9	33	334
712	The Angels' Melancholia	2009	5	tt1420558	158246	164	Unrated	0	3.4	\N	335
713	Serious Moonlight	2009	12	tt1133993	27989	84	R	0	5.4	22	86
714	Evangelion: 2.0 You Can (Not) Advance	2009	6	tt0860906	22843	108	TV-14	0	8.0	78	336
715	Johan Falk 1: GSI - Gruppen för särskilda insatser	2009	6	tt1295905	24023	113	N/A	0	6.9	\N	29
716	Spirit Camp	2009	9	tt1078933	40770	0	N/A	0	4.7	\N	34
717	The Donner Party	2009	10	tt1219336	33159	95	R	0	5.1	27	39
718	Across the Hall	2009	8	tt1176724	21469	93	R	0	6.0	39	174
